GRAMMAR is:
E -> E+E | E*E | (E) | id
Enter input string: id+id*id+id

Stack           Input           Action
$id             +id*id+id$              SHIFT->id
$E              $               REDUCE->id
$E+             id*id+id$               SHIFT->+
$E+id           *id+id$         SHIFT->id
$E+E            $               REDUCE->id
$E              $               REDUCE->E+E
$E*             id+id$          SHIFT->*
$E*id           +id$            SHIFT->id
$E*E            $               REDUCE->id
$E              $               REDUCE->E*E
$E+             id$             SHIFT->+
$E+id           $               SHIFT->id
$E+E            $               REDUCE->id
$E              $               REDUCE->E+E

Input string is VALID.
